data-1 | num=0 | 03/27/23 | 17:35:06 |
data-2 | num=1 | 03/27/23 | 17:35:07 |
data-3 | num=1 | 03/27/23 | 17:35:08 |
data-4 | num=1 | 03/27/23 | 17:35:08 |
data-5 | num=1 | 03/27/23 | 17:35:09 |
data-6 | num=1 | 03/27/23 | 17:35:09 |
data-7 | num=1 | 03/27/23 | 17:35:10 |
data-8 | num=1 | 03/27/23 | 17:35:10 |
data-9 | num=1 | 03/27/23 | 17:35:11 |
data-10 | num=1 | 03/27/23 | 17:35:11 |
data-11 | num=1 | 03/27/23 | 17:35:12 |
data-12 | num=1 | 03/27/23 | 17:35:12 |
data-13 | num=1 | 03/27/23 | 17:35:12 |
data-14 | num=1 | 03/27/23 | 17:35:13 |
data-15 | num=1 | 03/27/23 | 17:35:14 |
data-16 | num=1 | 03/27/23 | 17:35:14 |
data-17 | num=1 | 03/27/23 | 17:35:15 |
data-18 | num=1 | 03/27/23 | 17:35:15 |
data-19 | num=1 | 03/27/23 | 17:35:16 |
data-20 | num=1 | 03/27/23 | 17:35:16 |
data-21 | num=1 | 03/27/23 | 17:35:16 |
data-22 | num=1 | 03/27/23 | 17:35:17 |
data-23 | num=1 | 03/27/23 | 17:35:17 |
data-24 | num=1 | 03/27/23 | 17:35:18 |
data-25 | num=1 | 03/27/23 | 17:35:18 |
data-26 | num=1 | 03/27/23 | 17:35:19 |
data-27 | num=1 | 03/27/23 | 17:35:19 |
data-28 | num=1 | 03/27/23 | 17:35:20 |
data-29 | num=1 | 03/27/23 | 17:35:20 |
data-30 | num=1 | 03/27/23 | 17:35:21 |
data-31 | num=1 | 03/27/23 | 17:35:21 |
data-32 | num=1 | 03/27/23 | 17:35:22 |
data-33 | num=1 | 03/27/23 | 17:35:22 |
data-34 | num=1 | 03/27/23 | 17:35:23 |
data-35 | num=1 | 03/27/23 | 17:35:23 |
data-36 | num=1 | 03/27/23 | 17:35:24 |
data-37 | num=1 | 03/27/23 | 17:35:24 |
data-38 | num=1 | 03/27/23 | 17:35:25 |
data-39 | num=1 | 03/27/23 | 17:35:25 |
data-40 | num=1 | 03/27/23 | 17:35:26 |
data-41 | num=1 | 03/27/23 | 17:35:26 |
data-42 | num=1 | 03/27/23 | 17:35:27 |
data-43 | num=1 | 03/27/23 | 17:35:27 |
data-44 | num=1 | 03/27/23 | 17:35:28 |
data-45 | num=1 | 03/27/23 | 17:35:28 |
data-46 | num=1 | 03/27/23 | 17:35:29 |
data-47 | num=1 | 03/27/23 | 17:35:29 |
data-48 | num=1 | 03/27/23 | 17:35:30 |
data-49 | num=1 | 03/27/23 | 17:35:30 |
data-50 | num=1 | 03/27/23 | 17:35:31 |
data-51 | num=1 | 03/27/23 | 17:35:31 |
data-52 | num=1 | 03/27/23 | 17:35:32 |
